Distance_m,ReceivedPower_dBm,PathLoss_dB,RMSDelaySpread_ns,KFactor_dB,TotalPower,MeanDelay,RMSDelay,Entropy,Frequency_GHz,TxHeight,RxHeight,LOS,Scenario
309.4,-76.4,106.4,3.3,-0.2,3.000000001,1047.2,3.182242396,1.098612289,28,800,30,1,UMi_LOS_28
309.4,-79.9,109.9,3,3.1,4.000000047,1035.5,5.308012811,1.386294361,28,800,30,1,UMi_LOS_28
309.4,-77.2,107.2,3.5,-1.5,4.000000005,1035.475,5.332623651,1.386294361,28,800,30,1,UMi_LOS_28
309.3,-78.5,108.5,4.1,-0.9,4.000000013,1035.5,5.355837936,1.386294361,28,800,30,1,UMi_LOS_28
309.3,-78.7,108.7,4.2,-1,4,1035.475,5.380694658,1.386294361,28,800,30,1,UMi_LOS_28
309.2,-79.1,109.1,4.5,-1.9,4,1035.525,5.430642227,1.386294361,28,800,30,1,UMi_LOS_28
309.2,-77.2,107.2,1.9,8.5,4,1035.5,5.455730932,1.386294361,28,800,30,1,UMi_LOS_28
309.2,-86.8,116.8,4.3,-0.4,4.000000002,1035.525,5.479222116,1.386294361,28,800,30,1,UMi_LOS_28
309.1,-85.8,115.8,2.6,6.1,4.000000002,1035.5,5.504543578,1.386294361,28,800,30,1,UMi_LOS_28
309.1,-75.6,105.6,4.7,-2.5,4,1035.525,5.57914644,1.386294361,28,800,30,1,UMi_LOS_28
309,-77.7,107.7,3.5,2,4.000000004,1035.525,5.6282213,1.386294361,28,800,30,1,UMi_LOS_28
309,-78,108,4.6,-1.2,3.000000001,1047.133333,3.189914663,1.098612289,28,800,30,1,UMi_LOS_28
309,-85.6,115.6,3.7,1.9,4.000000004,1035.525,5.6282213,1.386294361,28,800,30,1,UMi_LOS_28
308.9,-71.5,101.5,4,-0.2,4.000000008,1035.525,5.677752636,1.386294361,28,800,30,1,UMi_LOS_28
308.9,-81.4,111.4,4.6,-3.7,4,1035.55,5.703726852,1.386294361,28,800,30,1,UMi_LOS_28
308.8,-84.3,114.3,3.7,0.7,4,1035.55,5.753477209,1.386294361,28,800,30,1,UMi_LOS_28
308.8,-75.7,105.7,3.7,0.9,4,1035.55,5.753477209,1.386294361,28,800,30,1,UMi_LOS_28
308.7,-77.1,107.1,4.2,-0.7,4,1035.575,5.777704994,1.386294361,28,800,30,1,UMi_LOS_28
308.7,-86.7,116.7,4,0.4,4,1035.575,5.829397482,1.386294361,28,800,30,1,UMi_LOS_28
308.7,-75.9,105.9,4.9,-2.5,4,1035.6,5.853631352,1.386294361,28,800,30,1,UMi_LOS_28
308.6,-77.4,107.4,4.4,-1.2,4.000000002,1035.575,5.928058282,1.386294361,28,800,30,1,UMi_LOS_28
308.6,-77.1,107.1,4.7,-2.9,4,1035.575,5.928058282,1.386294361,28,800,30,1,UMi_LOS_28
308.5,-78.3,108.3,4.3,-2,3.000000001,1047,3.234192326,1.098612289,28,800,30,1,UMi_LOS_28
308.5,-81.8,111.8,2,8.2,4,1035.6,6.004165221,1.386294361,28,800,30,1,UMi_LOS_28
308.5,-77.1,107.1,3.4,-1.9,4.000000001,1035.6,6.004165221,1.386294361,28,800,30,1,UMi_LOS_28
308.4,-72.8,102.8,4.2,-1.2,4.00000004,1035.6,6.055163086,1.386294361,28,800,30,1,UMi_LOS_28
308.4,-81.1,111.1,3.5,0.2,4,1035.6,6.055163086,1.386294361,28,800,30,1,UMi_LOS_28
308.3,-101,131,3.4,1.7,4.000000001,1035.625,6.131629066,1.386294361,28,800,30,1,UMi_LOS_28
308.3,-81.5,111.5,3.4,3.3,4.000000006,1035.625,6.131629066,1.386294361,28,800,30,1,UMi_LOS_28
308.3,-85.5,115.5,4.3,-2,4,1035.625,6.183192945,1.386294361,28,800,30,1,UMi_LOS_28
308.2,-83.3,113.3,4.6,-0.7,4,1035.65,6.208260626,1.386294361,28,800,30,1,UMi_LOS_28
308.2,-83.7,113.7,4.4,-3,4.00000001,1035.65,6.256396726,1.386294361,28,800,30,1,UMi_LOS_28
308.1,-85.5,115.5,3.5,-2.2,20,1650.23,308.0080083,2.995732274,28,800,30,1,UMi_LOS_28
308.1,-84.3,114.3,4,0,3.000000001,1048.733333,2.817011813,1.098612289,28,800,30,1,UMi_LOS_28
308,-77.6,107.6,2.5,1.8,3.000000001,1046.933333,3.242769735,1.098612289,28,800,30,1,UMi_LOS_28
308,-80.1,110.1,4.1,-2.8,27,1590.4,283.7397686,3.295836866,28,800,30,1,UMi_LOS_28
308,-90.4,120.4,3.6,-2.6,53,1412.566038,273.4696658,3.970291913,28,800,30,1,UMi_LOS_28
307.9,-84,114,3.2,-1.8,58,1382.134483,279.5527102,4.06044301,28,800,30,1,UMi_LOS_28
307.9,-69.3,99.3,5.4,-0.7,58,1381.224138,280.6809284,4.06044301,28,800,30,1,UMi_LOS_28
307.8,-94.4,124.4,2.6,1.6,58,1381.208621,280.6679559,4.06044301,28,800,30,1,UMi_LOS_28
307.8,-74.1,104.1,3.3,6.9,58,1381.191379,280.6675732,4.06044301,28,800,30,1,UMi_LOS_28
307.8,-84.7,114.7,4.2,2.1,58,1381.181034,280.6609548,4.06044301,28,800,30,1,UMi_LOS_28
307.7,-65.2,95.2,3.8,5.2,58,1381.165517,280.659889,4.06044301,28,800,30,1,UMi_LOS_28
307.7,-85.8,115.8,2.4,9.9,58,1381.155172,280.6589353,4.06044301,28,800,30,1,UMi_LOS_28
307.6,-79.8,109.8,4.8,-4.4,58.00000001,1381.144828,280.6562532,4.06044301,28,800,30,1,UMi_LOS_28
307.6,-91.9,121.9,4.5,-0.7,3.000000001,1046.8,3.287349489,1.098612289,28,800,30,1,UMi_LOS_28
307.6,-84.5,114.5,3.6,0.9,58,1381.12931,280.6528842,4.06044301,28,800,30,1,UMi_LOS_28
307.5,-80.9,110.9,2.2,2.3,58,1381.113793,280.6415811,4.06044301,28,800,30,1,UMi_LOS_28
307.5,-73.1,103.1,3.7,1.6,58,1381.103448,280.6353543,4.06044301,28,800,30,1,UMi_LOS_28
307.4,-78.7,108.7,3.4,0.9,58,1381.089655,280.6329716,4.06044301,28,800,30,1,UMi_LOS_28
307.4,-75.4,105.4,5.5,-0.6,58,1381.081034,280.6268042,4.06044301,28,800,30,1,UMi_LOS_28
307.4,-84.7,114.7,1.5,15.1,58,1381.062069,280.6268229,4.06044301,28,800,30,1,UMi_LOS_28
307.3,-85.9,115.9,4.3,4.3,58.00000001,1381.051724,280.6197595,4.06044301,28,800,30,1,UMi_LOS_28
307.3,-79.3,109.3,3.1,-1.1,58,1381.039655,280.6159966,4.06044301,28,800,30,1,UMi_LOS_28
307.2,-71.9,101.9,4.2,-0.2,58.00000053,1381.022411,280.6071074,4.06044301,28,800,30,1,UMi_LOS_28
307.2,-84.9,114.9,5.3,-1.1,58,1381.006897,280.6104539,4.06044301,28,800,30,1,UMi_LOS_28
307.2,-79,109,5.3,2.6,3,1046.733333,3.296799795,1.098612289,28,800,30,1,UMi_LOS_28
307.1,-68.8,98.8,2.5,11.7,58,1380.998276,280.6086958,4.06044301,28,800,30,1,UMi_LOS_28
307.1,-88.5,118.5,5.9,-1.9,58,1380.991379,280.5962975,4.06044301,28,800,30,1,UMi_LOS_28
307,-77.4,107.4,4.5,1.7,58.00000008,1380.972413,280.5927482,4.06044301,28,800,30,1,UMi_LOS_28
307,-79.4,109.4,4.8,-0.8,58,1380.963793,280.5875791,4.06044301,28,800,30,1,UMi_LOS_28
307,-75.3,105.3,5.6,2.7,58,1380.948276,280.5845286,4.06044301,28,800,30,1,UMi_LOS_28
306.9,-83,113,6.1,1.3,58,1380.939655,280.5805477,4.06044301,28,800,30,1,UMi_LOS_28
306.9,-76.5,106.5,5.3,0.7,58,1380.924138,280.5831571,4.06044301,28,800,30,1,UMi_LOS_28
306.8,-89.2,119.2,5.5,3.7,58,1380.912069,280.5818782,4.06044301,28,800,30,1,UMi_LOS_28
306.8,-94.1,124.1,5.5,-1.6,58,1380.898276,280.57473,4.06044301,28,800,30,1,UMi_LOS_28
306.8,-76.2,106.2,5.3,1.9,58,1380.889655,280.5680529,4.06044301,28,800,30,1,UMi_LOS_28
306.7,-78,108,3.1,1.4,3.000000001,1046.633333,3.351948024,1.098612289,28,800,30,1,UMi_LOS_28
306.7,-74.9,104.9,4,-2.5,58,1380.874138,280.5645415,4.06044301,28,800,30,1,UMi_LOS_28
306.6,-85.3,115.3,6.4,-2.1,58,1380.856897,280.5611895,4.06044301,28,800,30,1,UMi_LOS_28
306.6,-76.8,106.8,4.9,4.4,58,1380.846552,280.5602838,4.06044301,28,800,30,1,UMi_LOS_28
306.6,-79.2,109.2,4.5,4.8,58,1380.827586,280.5523332,4.06044301,28,800,30,1,UMi_LOS_28
306.5,-76.4,106.4,6.4,-0.9,58,1380.815517,280.5496328,4.06044301,28,800,30,1,UMi_LOS_28
306.5,-89.6,119.6,6.5,0.2,58,1380.805172,280.5468407,4.06044301,28,800,30,1,UMi_LOS_28
306.4,-72.9,102.9,5.5,-2.2,58,1380.791379,280.5403274,4.06044301,28,800,30,1,UMi_LOS_28
306.4,-89.8,119.8,2.8,9.9,58,1380.781034,280.5372109,4.06044301,28,800,30,1,UMi_LOS_28
306.4,-81.8,111.8,6.7,3.4,58,1380.772414,280.5323989,4.06044301,28,800,30,1,UMi_LOS_28
306.3,-72.7,102.7,3.6,7.2,58,1380.755172,280.5366466,4.06044301,28,800,30,1,UMi_LOS_28
306.3,-93.3,123.3,5.5,4.7,3,1046.533333,3.351948024,1.098612289,28,800,30,1,UMi_LOS_28
306.2,-86.9,116.9,6.1,-3.3,58,1380.737931,280.5265123,4.06044301,28,800,30,1,UMi_LOS_28
306.2,-90.1,120.1,4,0,58,1380.736207,280.5252067,4.06044301,28,800,30,1,UMi_LOS_28
306.2,-86.1,116.1,4.9,3.4,58,1380.715517,280.5166316,4.06044301,28,800,30,1,UMi_LOS_28
306.1,-81.6,111.6,6.2,-4.3,58,1380.703448,280.5135561,4.06044301,28,800,30,1,UMi_LOS_28
306.1,-82.7,112.7,7.1,-1.6,58,1380.694828,280.5131575,4.06044301,28,800,30,1,UMi_LOS_28
306,-81.4,111.4,5.1,2.2,58,1380.67931,280.5073973,4.06044301,28,800,30,1,UMi_LOS_28
306,-89.9,119.9,7,-1.8,58,1380.663793,280.499411,4.06044301,28,800,30,1,UMi_LOS_28
306,-90.9,120.9,5.3,5.6,58,1380.648276,280.4968512,4.06044301,28,800,30,1,UMi_LOS_28
305.9,-69.4,99.4,4.3,-2.3,58,1380.643103,280.4962979,4.06044301,28,800,30,1,UMi_LOS_28
305.9,-86.9,116.9,3.4,7.3,58,1380.627586,280.4854583,4.06044301,28,800,30,1,UMi_LOS_28
305.8,-76.9,106.9,5.4,4.2,3,1046.433333,3.408160142,1.098612289,28,800,30,1,UMi_LOS_28
305.8,-88.3,118.3,4.4,7,58,1380.618966,280.4870053,4.06044301,28,800,30,1,UMi_LOS_28
305.8,-92.9,122.9,5.3,-2.2,58,1380.6,280.4807984,4.06044301,28,800,30,1,UMi_LOS_28
305.7,-82,112,3.6,1.1,58,1380.586207,280.4765824,4.06044301,28,800,30,1,UMi_LOS_28
305.7,-93.4,123.4,6.3,-1.7,58,1380.577586,280.4700974,4.06044301,28,800,30,1,UMi_LOS_28
305.6,-85.6,115.6,5.1,5.5,58,1380.572414,280.46851,4.06044301,28,800,30,1,UMi_LOS_28
305.6,-82.9,112.9,3.3,1.2,58,1380.551724,280.4660212,4.06044301,28,800,30,1,UMi_LOS_28
305.6,-85.1,115.1,6.7,3.7,58,1380.534483,280.4603995,4.06044301,28,800,30,1,UMi_LOS_28
305.5,-91.4,121.4,5.9,-0.1,58,1380.52931,280.4590123,4.06044301,28,800,30,1,UMi_LOS_28
305.5,-79.4,109.4,6.7,3.9,58,1380.517241,280.4578812,4.06044301,28,800,30,1,UMi_LOS_28
305.5,-89,119,3.3,6.5,58,1380.506897,280.4533288,4.06044301,28,800,30,1,UMi_LOS_28
305.4,-89.9,119.9,6.3,-3.4,3,1046.333333,3.408160142,1.098612289,28,800,30,1,UMi_LOS_28
305.4,-73.7,103.7,3.8,8,58.00000002,1380.487931,280.4451425,4.06044301,28,800,30,1,UMi_LOS_28
305.3,-71.9,101.9,3.9,3.4,58,1380.477586,280.4481506,4.06044301,28,800,30,1,UMi_LOS_28
305.3,-93.8,123.8,2.8,10.6,58,1380.468966,280.4433394,4.06044301,28,800,30,1,UMi_LOS_28
305.3,-66.6,96.6,3.8,1.8,58,1380.453448,280.4365539,4.06044301,28,800,30,1,UMi_LOS_28
305.2,-89.9,119.9,6.7,-1.9,58,1380.441379,280.4318007,4.06044301,28,800,30,1,UMi_LOS_28
305.2,-89.1,119.1,2,12.7,58,1380.427586,280.4277987,4.06044301,28,800,30,1,UMi_LOS_28
305.1,-84.6,114.6,5.2,4.3,58,1380.417241,280.4224376,4.06044301,28,800,30,1,UMi_LOS_28
305.1,-72.2,102.2,6.9,-1,58.00000002,1380.406896,280.417903,4.06044301,28,800,30,1,UMi_LOS_28
305.1,-82,112,8.2,-0.8,58,1380.394828,280.4097897,4.06044301,28,800,30,1,UMi_LOS_28
305,-78.7,108.7,5,-1.4,58.00000001,1380.375862,280.4179088,4.06044301,28,800,30,1,UMi_LOS_28
305,-75.9,105.9,4.3,-0.9,3.000000001,1046.233333,3.465384378,1.098612289,28,800,30,1,UMi_LOS_28
304.9,-104,134,5,0.1,58,1380.367241,280.4127699,4.06044301,28,800,30,1,UMi_LOS_28
304.9,-91.9,121.9,8.3,-1.1,58,1380.348276,280.4060831,4.06044301,28,800,30,1,UMi_LOS_28
304.9,-74.9,104.9,7.3,-0.5,58,1380.339655,280.4104092,4.06044301,28,800,30,1,UMi_LOS_28
304.8,-79.4,109.4,8.3,-1.7,58,1380.325862,280.4038341,4.06044301,28,800,30,1,UMi_LOS_28
304.8,-79.6,109.6,3.6,-1,58,1380.315517,280.3976215,4.06044301,28,800,30,1,UMi_LOS_28
304.8,-74.4,104.4,3.3,10.7,58,1380.303448,280.3939039,4.06044301,28,800,30,1,UMi_LOS_28
304.7,-70.1,100.1,6.2,3.2,58,1380.287931,280.3920796,4.06044301,28,800,30,1,UMi_LOS_28
304.7,-71,101,8.8,-1.9,58.00000005,1380.277586,280.3915994,4.06044301,28,800,30,1,UMi_LOS_28
304.6,-64.5,94.5,5.9,0.5,58.00000001,1380.262069,280.3845585,4.06044301,28,800,30,1,UMi_LOS_28
304.6,-78,108,8.7,1.2,58.00000001,1380.251724,280.3810598,4.06044301,28,800,30,1,UMi_LOS_28
304.6,-76,106,24,1,3.000000002,1046.133333,3.465384378,1.098612289,28,800,30,1,UMi_LOS_28
304.5,-94,124,17.6,-2.4,58,1380.239655,280.3786885,4.06044301,28,800,30,1,UMi_LOS_28
304.5,-80.7,110.7,16.5,-3.7,58,1380.232759,280.3754148,4.06044301,28,800,30,1,UMi_LOS_28
304.4,-86.8,116.8,17.2,-0.6,58,1380.218966,280.3746788,4.06044301,28,800,30,1,UMi_LOS_28
304.4,-90.3,120.3,19.8,0.3,58,1380.203448,280.3677609,4.06044301,28,800,30,1,UMi_LOS_28
304.4,-86.7,116.7,17.1,4.3,58,1380.189655,280.3679582,4.06044301,28,800,30,1,UMi_LOS_28
304.3,-76.3,106.3,16.8,-1.7,58.00000001,1380.177586,280.3655145,4.06044301,28,800,30,1,UMi_LOS_28
304.3,-83.2,113.2,20.5,0,58,1380.163793,280.3553261,4.06044301,28,800,30,1,UMi_LOS_28
304.3,-79.7,109.7,17.4,-3.1,58.00000001,1380.155172,280.3596577,4.06044301,28,800,30,1,UMi_LOS_28
304.2,-85.2,115.2,14.8,-3.8,58,1380.143103,280.3549131,4.06044301,28,800,30,1,UMi_LOS_28
304.2,-90.9,120.9,17.5,-3.3,58,1380.132759,280.3546556,4.06044301,28,800,30,1,UMi_LOS_28
304.1,-72.8,102.8,18.1,0.1,3,1046.033333,3.52357142,1.098612289,28,800,30,1,UMi_LOS_28
304.1,-84.8,114.8,16.1,-2.9,58.00000006,1380.117241,280.3509705,4.06044301,28,800,30,1,UMi_LOS_28
304.1,-93.4,123.4,19.1,1.6,58,1380.103448,280.3596895,4.06044301,28,800,30,1,UMi_LOS_28
304,-75,105,17.3,2.8,58,1380.091379,280.3497356,4.06044301,28,800,30,1,UMi_LOS_28
304,-88.6,118.6,21.6,-2.8,58,1380.082759,280.3403234,4.06044301,28,800,30,1,UMi_LOS_28
304,-80.2,110.2,17.3,-3.7,58,1380.065517,280.3375653,4.06044301,28,800,30,1,UMi_LOS_28
303.9,-71.8,101.8,15.1,-4,58,1380.060345,280.3381246,4.06044301,28,800,30,1,UMi_LOS_28
303.9,-77.1,107.1,18.7,3.4,58,1380.048276,280.3300716,4.06044301,28,800,30,1,UMi_LOS_28
303.8,-88,118,21.2,-0.3,58,1380.036207,280.3265778,4.06044301,28,800,30,1,UMi_LOS_28
303.8,-72.7,102.7,20.1,-1.5,58,1380.02931,280.3258498,4.06044301,28,800,30,1,UMi_LOS_28
303.8,-91.6,121.6,18.2,-4,72,1443.452778,281.5634683,4.276666119,28,800,30,1,UMi_LOS_28
303.7,-87.6,117.6,15.6,-1.6,3.000000001,1048.633333,2.858126815,1.098612289,28,800,30,1,UMi_LOS_28
303.7,-95.8,125.8,14.8,-3,3,1045.933333,3.523571421,1.098612289,28,800,30,1,UMi_LOS_28
303.7,-99.3,129.3,16.1,-5.1,95,1441.066316,245.7860424,4.553876892,28,800,30,1,UMi_LOS_28
303.6,-78.6,108.6,20.7,0.8,78,1487.721795,246.5633365,4.356708827,28,800,30,1,UMi_LOS_28
303.6,-80.1,110.1,17.8,-1.1,96,1415.8125,268.3541927,4.564348191,28,800,30,1,UMi_LOS_28
303.5,-74.8,104.8,18.8,2.8,95,1419.645263,267.1681193,4.553876892,28,800,30,1,UMi_LOS_28
303.5,-97.4,127.4,18.2,1,95,1419.644211,267.1610367,4.553876892,28,800,30,1,UMi_LOS_28
303.5,-77.3,107.3,16.6,2.2,95,1419.647368,267.1481465,4.553876892,28,800,30,1,UMi_LOS_28
